"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"KULTURISTA, spolek pro kulturu a cestovní ruch";"02672944";"";"774 499 396";"";"";"Florián Jan";"Česká republika";"Západočeský";"Úterý";"330 40";"Úterý 54";"";"";"Agentury";""
"Hořický cvrkot, z.s.";"01502395";"";"724 322 337";"";"";"Lenka Indrová";"Česká republika";"Jihočeský";"Hořice na Šumavě";"382 22";"Hořice na Šumavě 11";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Společnost Modrý svět";"49545507";"";"737 835 585";"";"";"Veselý Václav";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Kaňk 149";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"SKYBRAND s.r.o.";"24831140";"";"777 202 655";"";"";"Fořt Petr";"Česká republika";"";"Český Brod";"282 01";"";"";"";"Agentury";""
"Kolpingova rodina Klokoty";"02126265";"";"";"";"";"Tomáš Cyril Havel";"Česká republika";"";"Tábor";"390 15";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kreativní agentura R51 s.r.o.";"28137248";"";"724 951 025";"";"";"Mikušiak Robin";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 1756/51";"";"";"Agentury";""
"FOKUS Vysočina, z.ú.";"";"";"725 730 491";"";"";"Jan Kučera";"Česká republika";"Východočeský";"Havlíčkův Brod";"580 01";"5. května 356";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Cebiv";"00259748";"";"774 499 396";"";"";"Florián Jan";"Česká republika";"";"Cebív";"349 52";"";"";"";"Městské a obecní úřady";""
"Eurocentrum Jablonec nad Nisou s.r.o.";"25412604";"";"774 22 55 28";"";"";"";"Česká republika";"Severočeský";"Jablonec nad Nisou";"466 01";"Jiráskova 2047/7";"";"";"Agentury";""
"Rodina Předbořice, z. s.";"69568693";"";"728 205 054";"";"";"Anna Jarolímková";"Česká republika";"Středočeský";"Předbořice";"399 01";"Předbořice 51";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Žernovice";"00583162";"";"724 862 001";"";"";"Petra Kleinová";"Česká republika";"Jihočeský";"Žernovice";"383 01";"Žernovice 65";"";"";"Městské a obecní úřady";""
"Obec Rynoltice";"263168";"";"603 547 193";"";"";"Zuzana Vaňková";"Česká republika";"Severočeský";"Rynoltice";"463 55";"Rynoltice 199";"";"";"Městské a obecní úřady";""
"Mateřská škola, Praha 10, Mládežnická 1/3078";"67774351";"";"725 551 543";"";"";"Petra Vorlová";"Česká republika";"Středočeský";"Praha ";"110 00";"Mládežnická 3078/1";"";"";"Školy";""
"MŠ Břečťanová,Brečťanová 2919/6,Praha 10, 10600";"67774351";"";"725 551 543";"";"";"Petra Vorlová";"Česká republika";"Středočeský";"Praha ";"110 00";"MŠ Břečťanová,Brečťanová 2919/6,Praha 10, 10600";"";"";"Školy";""
"Kulturně informační centrum Volary, příspěvková organizace";"7971753";"";"602 194 852";"";"";"Miroslava Höhneová";"Česká republika";"Jihočeský";"Volary";"384 51";"Náměstí 25";"";"";"Agentury";""
"Základní škola svaté Zdislavy Kopřivnice";"49588656";"";"606 628 120";"kajamarkova@gmail.com";"";"Karolína Marková";"Česká republika";"Severomoravský";"Kopřivnice";"742 21";"Štefánikova 117/29";"";"";"Školy";""
"Základní škola J.A.Komenského Lysá nad Labem, Komenského 1534, okres Nymburk";"61632244";"";"724 936 191";"";"";"Veronika Jandíková";"Česká republika";"Středočeský";"Lysá nad Labem";"289 22";"Komenského 1534";"";"";"Školy";""
"Agentura Butterfly s.r.o.";"28776402";"";"702 000 966";"";"";"Markéta Slánská";"Česká republika";"Východočeský";"Hradec Králové";"500 02";"Velké náměstí 130/24";"";"";"Agentury";""
"Kulturní zařízení města Pelhřimova, příspěvková organizace";"00374580";"";"777 012 390";"";"";"Martin Ecler";"Česká republika";"Východočeský";"Pelhřimov";"393 01";"třída Legií 1115";"";"";"Agentury";""
"RADIO RELAX s.r.o.";"48953873";"";"608 959 576";"";"";"Švarc Aleš";"Česká republika";"Severočeský";"Kladno";"272 52";"Cyrila Boudy 8";"";"";"Agentury";""
"STŘEDOVĚKÉ KRČMY, s.r.o.";"24746231";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Malá Strana, Thunovská 198/15";"";"";"Agentury";""
"Václav Vopravil";"";"CZ7604292927";"604 243 157";"";"";"Václav Vopravil";"Česká republika";"";"";"";"";"";"";"Agentury";""
"Rats-agency.cz";"";"";"777 606 551";"";"";"Vostárková Zuzana";"Česká republika";"Středočeský";"Praha ";"110 00";"";"";"";"Agentury";""
"Statutární město České Budějovice";"00244732";"";"606 744 126";"";"";"Vávrová Marie";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"nám. Přemysla Otakara II. 1/1";"";"";"Městské a obecní úřady";""
"Kast";"45307741";"";"737 145 131";"";"";"Anna Nováková";"Česká republika";"Středočeský";"Praha ";"110 00";"Lednická 17";"";"";"Agentury";""
"Správa kulturních zařízení města Kamenice nad Lipou";"00366111";"";"606 602 522";"";"";"Alena Kůrková";"Česká republika";"Jihočeský";"Kamenice nad Lipou";"394 70";"U Kult. domu 495";"";"";"Agentury";""
"Správa Národního parku Šumava";"00583171";"";"731 530 447";"";"";"";"Česká republika";"Jihočeský";"Vimperk";"385 01";"1. máje 260/19";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Stillking Films, spol. s r.o.";"25075055";"";"723 761 754";"";"";"Koutská";"Česká republika";"Středočeský";"Praha ";"110 00";"Kříženeckého náměstí 322/5";"";"";"Agentury";""
"Technické služby města Nových Hradů";"00070173";"";"602 150 208";"";"";"Jarolímková Květa";"Česká republika";"Jihočeský";"Nové Hrady";"373 33";"nám. Republiky 43";"";"";"Městské a obecní úřady";""
"Karolína Martincová";"";"";"";"";"";"Karolína Martincová";"";"";"";"";"";"";"";"";""
"Město Prachatice";"00250627";"";"420";"388 607 537";"";"Bohuslava Jindráková";"Česká republika";"Jihočeský";"Prachatice";"383 01";"Velké náměstí 3";"";"";"";""
"ART ZÓNA";"22872922";"";"777 755 555";"";"";"Petrišťák Milan ";"Česká republika";"Severočeský";"Kladno";"272 52";"Pekařská 2030";"";"";"Agentury";""
"Obchodní akademie, Střední odborná škola a Střední odborné učiliště, Třeboň, Vrchlického 567";"00073181";"";"";"";"";"";"Česká republika";"";"Třeboň";"379 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Agripa";"04433319";"";"602 542 706";"";"";"Jaromír Havlíček";"Česká republika";"Severomoravský";"Hradec nad Moravicí";"747 41";"Antonína Sovy 1214/22";"";"";"Agentury";""
"FULL PRODUCTION, s.r.o.";"28495161";"";"775 568 999";"";"";"Dalibor Prokeš";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Město Jindřichův Hradec";"00246875";"";"724 079 677";"";"";"Yvetta Papežová";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Klášterská 135";"";"";"Městské a obecní úřady";""
"KULTURNÍ CENTRUM NOVODVORSKÁ";"";"";"736 623 942";"";"";"Renata Paroulková";"Česká republika";"Středočeský";"Praha ";"110 00";"Novodvorská 1013/151";"";"";"Agentury";""
"Schody k nezávislosti, z.s.";"26553325";"";"775 910 380";"kacka.beranova@volny.cz";"";"Kateřina Beranová";"Česká republika";"Středočeský";"Praha ";"110 00";"Příčná 546";"";"";"Agentury";""
"TÁBOREST s.r.o.";"28135725";"";"726 423 726";"";"";"Dvořáková Markéta";"Česká republika";"Jihočeský";"Tábor";"390 15";"Pod Parkány 187/4";"";"";"Agentury";""
"Milan Kasper";"";"";"608 471 666";"";"";"";"";"";"";"";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Pavel Machač";"";"";"604 206 929";"";"";"Pavel Machač";"";"";"";"";"";"";"";"Školy";""
"Förderkreis Böhmisches Dorf";"";"";"";"";"";"Bianka Peetz-Mühlstein";"Německo";"";"Potsdam";"";"";"";"";"";""
"Samhaber Thomas";"";"";"";"";"";"Samhaber Thomas";"";"";"";"";"";"";"";"Agentury";""
"MŠ KOTLASKA";"70919623";"";"775 564 103";"";"";"Dáša Divišová";"Česká republika";"Středočeský";"Praha ";"110 00";"Kotlaska 3/30";"";"";"Školy";""
"Farní charita Protivín";"26520851";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"JEDEN STROM Z.Ú.";"26565129";"";"777 258 450";"";"";"Alena Laláková";"Česká republika";"Středočeský";"Praha ";"110 00";"Vykoukových 623/7";"";"";"Agentury";""
"Obec Žimutice";"00245763";"";"607 621 173";"";"";"Josef Hajný";"Česká republika";"Jihočeský";"Pořežany";"375 01";"Žimutice 44";"";"";"Městské a obecní úřady";""
"Město Polná";"00286435";"";"724 651 721";"";"";"";"Česká republika";"";"Zubří";"756 54";"";"";"";"Městské a obecní úřady";""
"Bude cirkus";"";"";"777 225 865";"";"";"Katka Vaněčková";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"";"";"";"Divadla,Kulturní zařízení";""
""Vlastní náklady"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Město Černovice";"00248037";"";"";"";"";"";"Česká republika";"";"Černovice";"394 94";"";"";"";"";""
"Děčínská sportovní, příspěvková organizace";"75107350";"";"777104210";"";"";"Hana Bayerová";"Česká republika";"Středočeský";"Děčín";"405 02";"Děčín I-Děčín, Oblouková 1400/6";"";"";"Agentury";""
"LIPNO SERVIS s.r.o.";"26016885";"";"776 663 354";"";"";"Grauer Jiří";"Česká republika";"";"Lipno nad Vltavou ";"382 78";"";"";"";"Agentury";""
"Prostor Pro_";"";"";"731 469 377";"";"";"Tereza Váchová";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"";""
"Divadlo Za komínem z. s.";"08019282";"";"732 703 642";"";"";"";"Česká republika";"";"Humpolec";"396 01";"";"";"";"Divadla,Kulturní zařízení";""
""bez dokladu"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Platforma Humpolec, z.s.";"07516231";"";"732 837 671";"";"";"Petr Machek";"Česká republika";"";"Humpolec";"396 01";"";"";"";"Agentury";""
"VesSpolek, z.s.";"08751366";"";"775 881 269";"";"";"Lenka Oravová";"Česká republika";"Východočeský";"Zehuby";"286 01";"Zehuby 11";"";"";"";""
"Loutkový spolek Nitka";"63299054";"";"605 845 890";"";"";"";"Česká republika";"Jihočeský";"Písek";"397 01";"";"";"";"Divadla,Kulturní zařízení";""
"Ladislav Pártl";"04881061";"";"774 700 401";"";"";"Ladislav Pártl";"Česká republika";"";"Polná";"588 13";"";"";"";"Agentury";""
"Obec Chotěmice";"00512648";"";"724 143 269";"";"";"Milan Brus";"Česká republika";"Jihočeský";"Chotěmice";"392 01";"Chotěmice 45";"";"";"Městské a obecní úřady";""
"Dům dětí a mládeže Praha 5";"45242941";"";"737 573 578";"";"";"Polidorová Vlaďka";"Česká republika";"Středočeský";"Praha ";"110 00";"Praha 5, Smíchov, Štefánikova 235/11";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Loketský dráček, z.s.";"08508658";"";"722 105 205";"";"";"Petra Karlíčková";"Česká republika";"Západočeský";"Loket";"357 33";"Sportovní 552";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Spolek Deepam";"22612378";"";"607 077 321";"";"";"Kvak Roman";"Česká republika";"Západočeský";"Loket";"357 33";"Sokolovská 401/31";"";"";"Agentury";""
"DOC.DREAM services s.r.o.";"05386551";"";"775 292 023";"";"";"Iva Honsová";"Česká republika";"Východočeský";"Jihlava";"586 01";"Jana Masaryka 1662/16";"";"";"Agentury";""
"Diecézní centrum pro rodinu";"73634689";"";"731 402 981";"";"";"PhDr. Alena Poláčková";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Široká 27";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Občanské sdružení Uhříněves";"27015297";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Husovo náměstí 375/36 Uhřiněves";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Zdeněk Sternberg";"45127468";"";"724 254 733";"";"";"Zdeněk Sternberg";"Česká republika";"Středočeský";"Český Šternberk";"257 26";"Český Šternberk 1";"";"";"Soukromé osoby";""
"Občanská demokratická strana";"16192656";"";"606 648 858";"";"";"Jana Holcová";"Česká republika";"Středočeský";"Praha ";"110 00";"Praha 1, Nové Město, Truhlářská 1106/9";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"RC Kolečko, o.s.";"";"";"608 120 010";"";"";"Katka Hejduková";"Česká republika";"Středočeský";"Zahájí";"373 48";"Oleška 156";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"KULTURNÍ JIŽNÍ MĚSTO o.p.s.";"27911225";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Malenická 1784";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kultura Rychnov nad Kněžnou, s.r.o.";"27475689";"";"777 564 165";"";"";"";"Česká republika";"Východočeský";"Rychnov nad Kněžnou";"516 01";"Panská 79";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Divadlo Kapsa";"";"";"603 164 653";"";"";"Vlastimil Fischer";"Česká republika";"Západočeský";"Andělská hora";"364 71";"";"";"";"Divadla,Kulturní zařízení";""
"Obec Nákří";"00581798";"";"724 164 277";"";"";"";"Česká republika";"Jihočeský";"Nákří";"373 48";"Nákří 24";"";"";"Městské a obecní úřady";""
"Šermířská a divadelní společnost Zikmunda Wintera";"46707140";"";"603 817 046";"";"";"";"Česká republika";"Jihočeský";"Tábor";"390 15";"";"";"";"Agentury";""
"Aisis o.s.";"";"CZ67798853";"604 146 163";"";"";"Křístková Markéta";"Česká republika";"Středočeský";"Kladno";"272 52";"Gorkého 499";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Brandýs nad Labem";"00240079";"";"602 770 305";"";"";"Hana Šenková";"Česká republika";"Středočeský";"Brandýs nad Labem";"250 01";"Masarykovo náměstí 1/6";"";"";"Městské a obecní úřady";""
"Statutární město Olomouc";"00299308";"";"606 760 620";"";"";"Hegerová Tamara";"Česká republika";"Severomoravský";"Olomouc";"779 00";"Horní náměstí 583";"";"";"Městské a obecní úřady";""
"Obec Popovice";"00508411";"";"608 382 203";"";"";"Jana Zachová";"Česká republika";"Středočeský";"Popovice";"257 01";"Popovice 78";"";"";"Městské a obecní úřady";""
"MMC Praha s.r.o.";"61060445";"";"602 526 025";"";"";"Brtnická Zdislava";"Česká republika";"Středočeský";"Praha ";"110 00";"Smíchov, U Nikolajky 957/11";"";"";"Agentury";""
"Kristián, spol. s r.o.";"63076331";"";"777 131 777";"";"";"Kadlec Pavel";"Česká republika";"Středočeský";"Praha ";"110 00";"Vršovice, Výstupní 1129/6";"";"";"Agentury";""
"Šindelářová Jana";"";"";"608 033 999";"";"";"Šindelářová Jana";"Česká republika";"Středočeský";"Brandýs nad Labem";"250 01";"Výletní 1148";"";"";"Soukromé osoby";""
"TJ Sokol Strunkovice";"";"";"736 642 811";"";"";"Matějka Karel";"Česká republika";"Jihočeský";"Strunkovice nad Blanicí";"384 26";"Mlýn 172";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"NEZNÁMÝ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Monika Kučerová";"";"";"";"";"";"Monika Kučerová";"Česká republika";"Středočeský";"Praha ";"110 00";"Na předevsi 10 Kolowraty";"";"";"Soukromé osoby";""
"Kateřina Beranová";"";"";"775 910 380";"";"";"Kateřina Beranová";"Česká republika";"Středočeský";"Vrané nad Vltavou ";"252 46";"Ke statku 561";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Roman Juřica";"70726558";"";"777 232 167";"";"";"Roman Juřica";"Česká republika";"Západočeský";"Tři Sekery";"353 01";"Krásné 61";"";"";"Agentury";""
"Umělecká agentura Historia";"69760641";"";"606 814 005";"";"";"Marcela Šlapanská";"Česká republika";"Jihomoravský";"Vyškov";"682 01";"Moravské Prusy 100";"";"";"Agentury";""
"Středisko volného času "ROROŠ", Nové Město pod Smrkem, příspěvková organizace";"46744819";"";"605 309 309";"";"";"Yveta Svobodová";"Česká republika";"Severočeský";"Nové Město pod Smrkem";"463 65";"Frýdlantská 841";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Centrum kultury Písek,o,p,s,";"";"";"774 598 326";"";"";"Alena Michlová";"Česká republika";"Jihočeský";"Písek";"397 01";"Tylova 69";"";"";"Divadla,Kulturní zařízení";""
"Rorejs";"70821291";"";"602 100 990";"";"";"David Bílek";"Česká republika";"Středočeský";"Mníšek pod Brdy";"252 10";"Za Sokolovnou 62";"";"";"Agentury";""
"YMCA Praha";"26529122";"";"773 993 985";"";"";"Hamalová Vlasta";"Česká republika";"Středočeský";"Praha ";"110 00";"Nové Město, Na poříčí 1041/12";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Diakonie ČCE - středisko Západní Čechy";"45331154";"";"605 573 208";"";"";"";"Česká republika";"Západočeský";"Plzeň";"301 00";"Jižní Předměstí, Prokopova 207/25";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Rodinné centrum Chloumek, z.s.";"26638541";"";"724 040 407";"";"";"Iva Tašková";"Česká republika";"Severočeský";"Mělník";"276 01";"Trojická 2803";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Lenora";"00250538";"";"602 677 352";"";"";"Krnáková J.";"Česká republika";"Jihočeský";"Lenora";"384 42";"Lenora 36";"";"";"Městské a obecní úřady";""
"ZŠ Hluboká nad Vltavou";"";"";"";"";"";"N.Dupalová";"Česká republika";"Jihočeský";"Hluboká nad Vltavou";"373 41";"";"";"";"Školy";""
"Fakultní MŠ-klub rodičů";"65994027";"";"731 181 954";"";"";"Irena Holemá";"Česká republika";"Středočeský";"Praha ";"110 00";"Vokovice, Arabská 681/20";"";"";"Školy";""
"PRO LEPŠÍ OBEC LIPÍ z.s.";"00245160";"";"606 692 514";"";"";"Bombala Stanislav";"Česká republika";"Jihočeský";"Lipí";"373 84";"Lipí 102";"";"";"Městské a obecní úřady";""
"Pro lepší obec Lipí z.s";"00245160";"";"";"";"";"Bombala Stanislav";"Česká republika";"Jihočeský";"Lipí";"373 84";"Lipí 28";"";"";"Městské a obecní úřady";""
"Mateřská škola Horoměřice, okres Praha - západ";"75031345";"";"608 210 642";"";"";"Barboru Kolárovou";"Česká republika";"Středočeský";"Horoměřice";"252 62";"Horoměřice, Velvarská 310";"";"";"Školy";""
"Umění ve městě, z. s.";"7578911";"";"721 453 922";"";"";"Jan Melmer";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Jakub Skočdopole";"71816551";"";"775 195 185";"";"";"Jakub Skočdopole";"";"Východočeský";"Polná";"588 13";"Žejdlicova 1230";"";"";"";""
"Vazač Michal";"";"";"724271579";"";"";"Vazač Michal";"Česká republika";"Jihočeský";"Zborov";"370 06";"";"";"";"";""
"David Vostrovský";"";"";"775 085 030";"";"";"David Vostrovský";"Česká republika";"Jihočeský";"";"";"";"";"";"Agentury";""
"Verein Übergänge Prechody";"";"";"";"";"";"Samhaber Thomas";"Rakousko";"";"Gmünd";"3950";"";"";"";"Agentury";""
"Obec Dobrá Voda u Českých Budějovic";"00581232";"";"602 177 058";"";"";"Milan Přecechtěl";"Česká republika";"Jihočeský";"Dobrá Voda";"373 16";"U Domova důchodců 1356/33";"";"";"Městské a obecní úřady";""
"Obec Hrdějovice";"00244961";"";"724 148 286";"";"";"Radka Šulistová";"Česká republika";"Jihočeský";"Hrdějovice";"373 61";"Dlouhá 221";"";"";"Městské a obecní úřady";""
"SPOLEK OCHOTNÝCH DOBROVOLNÍKŮ z.s.";"08733597";"";"602 430 094";"";"";"Monika Kremlová";"Česká republika";"Jihočeský";"Horní Dvořiště";"382 93";"Horní Dvořiště, Česká 10";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Žďár nad Sázavou";"00295841";"";"734 794 557";"";"";"Sedlák Petr";"Česká republika";"Východočeský";"Hynkov";"783 33";"Žižkova 227/1";"";"";"Divadla,Kulturní zařízení";""
"Katolická beseda v Kopřivnici, z. s.";"16628357";"";"773 676 672";"";"";"Cachnin Jiří";"Česká republika";"Severomoravský";"Kopřivnice";"742 21";"Štramberská 378/2";"";"";"Agentury";""
"MKC Votice";"71235345";"";"775 683 394";"";"";"Petra Líznerová";"Česká republika";"Jihočeský";"Votice";"259 01";"Komenského nám. 177";"";"";"Agentury";""
"Martin Pergl";"";"";"728 655 878";"";"";"Martin Pergl";"Česká republika";"Jihočeský";"Suchdol nad Lužnicí";"378 06";"Hrdlořezy 54";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ProNi Production s.r.o.";"04159683";"";"";"";"";"";"Česká republika";"Středočeský";"Kolín";"280 02";"Roháčova 830";"";"";"Agentury";""
"ProNi Production s.r.o.";"ProNi Production s.r.o.";"";"";"";"";"";"Česká republika";"";"Kolín";"280 02";"";"";"";"Agentury";""
"Síť pro rodinu, z.s.";"26545136";"";"703 424 915";"";"";"Lucie Koláčková";"Česká republika";"Středočeský";"Praha ";"110 00";"Nové Město, Truhlářská 1121/24";"";"";"Divadla,Kulturní zařízení";""
"Spolek mydlovarských občanů - MYDLOVARAN";"03468003";"";"724 481 744";"";"";"Renata Gondeková";"Česká republika";"Jihočeský";"Mydlovary";"373 49";"Mydlovary 61";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"DELECTO PRODUCTION s.r.o.";"04362845";"";"777 115 524";"";"";"Dočkal Petr";"Česká republika";"";"Žatec";"438 01";"";"";"";"";""
"Muzeum Blanenska, příspěvková organizace";"Muzeum Blanenska, příspěvková organizace";"";"725 952 592";"";"";"Dvořáčková Věra";"Česká republika";"";"Blansko";"678 01";"";"";"";"Agentury";""
"Dům kultury Milevsko";"48257460";"";"775 733 552";"";"";"Ludmila Korytová";"Česká republika";"Středočeský";"Milevsko";"399 01";"Nádražní 846";"";"";"Divadla,Kulturní zařízení";""
"Kašpar Josef";"60071761";"";"";"";"";"Kašpar Pepíno";"Česká republika";"";"Hosín";"373 41";"";"";"";"";""
"Švecová Alena";"07863454";"";"";"";"";"";"Česká republika";"";"Zborov";"370 06";"";"";"";"";""
"Městské divadlo v Kolíně";"00069795";"";"737 472 293";"";"";"Drahovzal Martin";"Česká republika";"";"Kolín";"280 02";"";"";"";"Agentury";""
"Good Agency s.r.o.";"28095472";"";"602 746 746";"";"";"Renata Šťastná";"Česká republika";"";"Hluboká nad Vltavou";"373 41";"";"";"";"Agentury";""
"Městská část Praha 8";"00063797";"";"606 634 802";"";"";"Jarmila Mastejová";"Česká republika";"Středočeský";"Praha ";"110 00";"Zenklova 1/35";"";"";"Divadla,Kulturní zařízení";""
"Město Strakonice";"00251810";"";"";"";"";"Krýzová Šťěpánka";"Česká republika";"Jihočeský";"Strakonice";"386 01";"Velké náměstí 2";"";"";"Městské a obecní úřady";""
"Ústecký seniorát Českobratrské církve evangelické";"46717951";"";"776 599 977";"";"";"Zuzana Dvořáková";"Česká republika";"Západočeský";"Louny";"44001";"Českých Bratří 1510";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Historia";"69760641";"";"608 814 005";"";"";"Marcela Šlapanská";"Česká republika";"Jihomoravský";"Vyškov";"682 01";"Moravské Prusy 100";"";"";"Agentury";""
"Mateřská škola Adélka, Brno, U Velké ceny 8, příspěvková organizace";"70872881";"";"777 235 578";"";"";"Renata Šimečková";"Česká republika";"Jihomoravský";"Brno";"614 00";"Kohoutovice, U Velké ceny 573/8";"";"";"Školy";""
""Guardia Broda Bohemicalis z.s."";"28552474";"";"777 235 578";"";"";"Brožek  Petr";"Česká republika";"Středočeský";"Český Brod";"282 01";"nám. Arnošta z Pardubic 55";"";"";"Agentury";""
"Skupina historického šermu Rigel z.s.";"70837945";"";"604 380 597";"";"";"";"Česká republika";"";"Svoboda nad Úpou";"542 24";"";"";"";"Agentury";""
"Římskokatolická farnost - děkanství Rumburk";"46717935";"";"";"";"";"A.Rezler";"Česká republika";"";"Rumburk";"408 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Divadlo na Šantovce o.p.s.";"01766627";"";"731 256 406";"";"";"Kateřina Burešová";"Česká republika";"Severomoravský";"Olomouc";"779 00";"tř. Kosmonautů 1221/2a";"";"";"Agentury";""
"Národní zemědělské muzeum, s.p.o.";"75075741";"";"777 313 665";"";"";"Daniela Mertlová";"Česká republika";"";"Kačina";"284 01";"";"";"";"";""
"Město Vlachovo Březí";"00250821";"";"605 184 734";"";"";"Táňa Tláskalová";"Česká republika";"";"Vlachovo Březí";"384 22";"";"";"";"Městské a obecní úřady";""
"BudeSport, z.s.";"03773329";"";"777 225 865";"";"";"Katka Vaněčková";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Městské kulturní centrum Poděbrady";"16577434";"";"725 829 149";"";"";"Mgr. Martina Bartáková";"Česká republika";"Středočeský";"Poděbrady";"290 01";"Jiřího náměstí 1/8";"";"";"Divadla,Kulturní zařízení";""
"Městská část Praha 10";"00063941";"";"702 182 185";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Městské a obecní úřady";""
"Tereza Kynclová";"69042039";"";"702 182 185";"";"";"Tereza Kynclová";"Česká republika";"Středočeský";"Praha ";"110 00";"Žinkovská 1851/4";"";"";"Agentury";""
"Obec Zahájí";"00581372";"";"727 989 115";"";"";"Irena Vlasáková";"Česká republika";"Jihočeský";"Zahájí";"373 48";"Náves";"";"";"Městské a obecní úřady";""
"SDH Slověnice";"64752381";"";"606 603 663";"";"";"Jindrová Leona";"Česká republika";"Jihočeský";"Slověnice";"257 26";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Edita Dvorská";"";"";"608 190 424";"";"";"Edita Dvorská";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Na Stříbrníku 226";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Poděbrady";"00239640";"";"725 829 149";"";"";"Mgr. Martina Bartáková";"Česká republika";"Středočeský";"Poděbrady";"290 01";"Jiřího náměstí 20/1";"";"";"Městské a obecní úřady";""
"Ars klub z.s.";"15771008";"";"606 865 037";"";"";"Marie Kubovcová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 1853/6";"";"";"Agentury";""
"Taktiq Communications s.r.o.";"02517116";"";"775 700 103";"";"";"Pavel Růžička";"Česká republika";"Středočeský";"Praha ";"110 00";"Malá Štupartská 634/7";"";"";"Agentury";""
"Anna Žemberová";"06241727";"";"";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Jedu vodu s.r.o.";"04994698";"";"724 323 595";"";"";"Dominika Smržová";"Česká republika";"Středočeský";"Praha ";"110 00";"Pod lipami 2573/50";"";"";"Agentury";""
"SDH Zahájí";"65049730";"";"727 989 115";"";"";"Irena Vlasáková";"Česká republika";"";"Zahájí";"373 48";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Budějovice 2028, z.s.";"10683038";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
